21338465	ktv_group	OPEN	SUBSCRIBERS	31245	0
17639775	tw2006	OPEN	SUBSCRIBERS	24059	0
21128621	free_cam	OPEN	SUBSCRIBERS	51630	0
17652007	twlove2006	OPEN	SUBSCRIBERS	41799	0
14056100	MONEY-NEWS	OPEN	SUBSCRIBERS	9241	0
19870440	sd_sd1899	RESTRICTED	SUBSCRIBERS	3638	0
74360427	hk_honey	RESTRICTED	ALL	2738	0
20361944	holooipoian	RESTRICTED	SUBSCRIBERS	2660	0
16627098	ba011644	OPEN	SUBSCRIBERS	2048	0
13101562	lenyanTW	OPEN	ALL	1456	0
13489517	b3299674	OPEN	SUBSCRIBERS	2649	0
10322447	scout_fdi	RESTRICTED	SUBSCRIBERS	659	0
74186921	Watch_Free_Videos_Movies	OPEN	ALL	307	0
11827284	infosecurity	RESTRICTED	SUBSCRIBERS	315	0
14607207	Cundi	OPEN	ALL	382	0
14211997	maksimhkfansclub	OPEN	SUBSCRIBERS	264	0
9813762	1a43	RESTRICTED	SUBSCRIBERS	167	0
21242589	HKMATSWNetwork1234567890	OPEN	ALL	168	0
12501253	bridger02	RESTRICTED	SUBSCRIBERS	213	0
17470080	tmlbc	OPEN	ALL	115	0
12248143	dtln	RESTRICTED	SUBSCRIBERS	111	0
4650441	CITIEZ	RESTRICTED	SUBSCRIBERS	190	0
12278560	kei-hoi	RESTRICTED	SUBSCRIBERS	80	0
20936380	1A37	RESTRICTED	SUBSCRIBERS	72	0
11844285	HKSCC	RESTRICTED	SUBSCRIBERS	89	0
21268700	ssppwyd	RESTRICTED	SUBSCRIBERS	61	0
17702840	Seahorse_badminton	RESTRICTED	SUBSCRIBERS	58	0
8850759	skwkf	RESTRICTED	SUBSCRIBERS	58	0
12625117	new-baodiao	RESTRICTED	SUBSCRIBERS	110	0
13730519	joshuas	RESTRICTED	SUBSCRIBERS	56	0
15299768	1a21	RESTRICTED	SUBSCRIBERS	60	0
7221525	SOChoir	RESTRICTED	SUBSCRIBERS	48	0
10191793	globalnetworkhk	RESTRICTED	SUBSCRIBERS	54	0
9901274	yearnshire	RESTRICTED	SUBSCRIBERS	40	0
8184265	MarE16	RESTRICTED	SUBSCRIBERS	40	0
13954698	CBCCOCPraiseTeam	RESTRICTED	SUBSCRIBERS	41	0
17881852	kfbc	OPEN	ALL	59	0
16973188	iet-hongkong-yms	RESTRICTED	SUBSCRIBERS	30	0
80375311	nt507sqn	RESTRICTED	SUBSCRIBERS	28	0
3492195	hklta_ec	RESTRICTED	SUBSCRIBERS	28	0
16984219	wowzone	RESTRICTED	SUBSCRIBERS	31	0
47798096	wuhongra	OPEN	ALL	26	0
74264811	canaan-hope	OPEN	ALL	23	0
49611430	denmitr	OPEN	ALL	22	0
17835100	jccc1977	RESTRICTED	ALL	25	0
19559140	ct888	RESTRICTED	SUBSCRIBERS	25	0
88847795	20132014debateteam	OPEN	ALL	20	0
19409252	ied_VA_classmate	OPEN	SUBSCRIBERS	22	0
18884446	ForeverFriendHinKeng	OPEN	SUBSCRIBERS	22	0
21673618	emmaustfccf2008	RESTRICTED	SUBSCRIBERS	21	0
16183064	supporteam	RESTRICTED	ALL	17	0
8101250	KA34	RESTRICTED	SUBSCRIBERS	17	0
9165110	friends_ce2001	RESTRICTED	SUBSCRIBERS	19	0
70644592	Keiheep68C3	OPEN	ALL	19	0
25215905	ertdfg31	OPEN	ALL	14	0
23308547	ymca_kr1370	RESTRICTED	SUBSCRIBERS	13	0
49113628	akipntv	OPEN	ALL	12	0
21838881	tmacmgmail	OPEN	ALL	21	0
16846488	obstacle	OPEN	ALL	12	0
78871968	IBMGPMembershipList	OPEN	ALL	11	0
10014735	lee_family_hk	RESTRICTED	SUBSCRIBERS	13	0
13163126	213813	OPEN	SUBSCRIBERS	11	0
15800034	OurMemoriesMagazine	OPEN	ALL	7	0
25095723	ertdfg66a	OPEN	ALL	6	0
51803015	enimyce	OPEN	ALL	6	0
74186230	Atrophic_Rhinitis	OPEN	ALL	4	0
89656645	groupurllunkyd	OPEN	ALL	4	0
83652320	hk_invite_test_group	OPEN	ALL	3	0
52226509	umorvrx	OPEN	ALL	4	0
36405463	drgh378	OPEN	ALL	3	0
72240466	rgyijdc	OPEN	ALL	2	0
89708033	catcatlovers	OPEN	ALL	2	0
8778726	ahcomic	OPEN	SUBSCRIBERS	6879	0
12492655	WheelofFortune	OPEN	SUBSCRIBERS	3715	0
4921841	Luv-Twins	OPEN	SUBSCRIBERS	2791	0
5888199	adbb4aea8ka6pa7o	OPEN	ALL	3423	0
18424625	RollerCoasterTycoon3Group	OPEN	SUBSCRIBERS	875	0
4722115	Adorable_Kelly	OPEN	SUBSCRIBERS	1341	0
4994443	I_Love_Nicholas	OPEN	SUBSCRIBERS	1094	0
11127295	Sharp-GX22	OPEN	SUBSCRIBERS	611	0
12911138	croketclub	OPEN	SUBSCRIBERS	752	0
8073829	ClubBellagio	OPEN	SUBSCRIBERS	594	0
7732615	shamanking_dream_home	OPEN	SUBSCRIBERS	560	0
7580773	Mo_old_1	OPEN	SUBSCRIBERS	1928	0
13918125	schoolspank	OPEN	ALL	678	0
22146309	Super_Seminar3	OPEN	ALL	359	0
10621370	the_summer_snow	OPEN	SUBSCRIBERS	634	0
8958692	novia_0927	OPEN	SUBSCRIBERS	584	0
11169194	rmgill	OPEN	SUBSCRIBERS	639	0
8684905	Twins_GBA	OPEN	SUBSCRIBERS	485	0
7337637	e-book2	OPEN	SUBSCRIBERS	444	0
10482876	twins_is_the_pretty	OPEN	SUBSCRIBERS	658	0
5887564	aaeaaeacua8aca8eacwbao	OPEN	ALL	607	0
11685141	w-inds_PRIME_OF_LIFE	OPEN	SUBSCRIBERS	494	0
9622139	lovejolin_2003	OPEN	SUBSCRIBERS	306	0
5890789	kssex3pbbbbafu2oe	OPEN	ALL	542	0
13430960	renee_lee_wan	OPEN	ALL	398	0
6518755	OSUHKSA	OPEN	ALL	254	0
8776504	rickywts2000	RESTRICTED	SUBSCRIBERS	209	0
4007149	gs_digimon_club	OPEN	SUBSCRIBERS	510	0
10125932	GALS-house-kiki	OPEN	SUBSCRIBERS	329	0
8461463	TwinSa	OPEN	SUBSCRIBERS	564	0
13973569	allstar2005	OPEN	ALL	348	0
7232031	babycat100100	OPEN	SUBSCRIBERS	266	0
7707979	hkcd	OPEN	SUBSCRIBERS	260	0
7259875	Coolest_hunterxhunter_group	OPEN	SUBSCRIBERS	273	0
11705989	sx779	OPEN	SUBSCRIBERS	297	0
14378443	swkalumni	RESTRICTED	SUBSCRIBERS	130	0
5886905	a6pa7oa4oaz300114y	OPEN	ALL	536	0
5885870	a4ia7oea9yabv	OPEN	ALL	198	0
13770531	kwonsangwoo_hkfansunion	RESTRICTED	SUBSCRIBERS	148	0
18949443	qaz889	RESTRICTED	SUBSCRIBERS	220	0
9507034	clieclie	OPEN	SUBSCRIBERS	183	0
14133484	7378112	OPEN	ALL	168	0
11390260	hkgirlpoto	OPEN	SUBSCRIBERS	258	0
4390243	rave-party	OPEN	SUBSCRIBERS	135	0
5888210	adbb4aeabca6a5aea4i0i	OPEN	ALL	259	0
15824129	animation_center	OPEN	SUBSCRIBERS	178	0
18456627	5i78	RESTRICTED	ALL	169	0
18937317	fromjapan88	OPEN	ALL	118	0
15261822	lovelovejay	OPEN	ALL	207	0
22589484	sunvolunteer	OPEN	ALL	98	0
10806035	pearl_li_hk	OPEN	SUBSCRIBERS	160	0
9750325	silverman0431	OPEN	SUBSCRIBERS	568	0
4023276	pinnes	OPEN	SUBSCRIBERS	235	0
7287788	hongzi19712002	OPEN	SUBSCRIBERS	269	0
15382698	symbian_os_n6680	OPEN	ALL	101	0
11094810	mkp_michaelsir	RESTRICTED	SUBSCRIBERS	102	0
8686198	love_charlene_gillian	OPEN	SUBSCRIBERS	267	0
9520444	HystericEminem	OPEN	SUBSCRIBERS	125	0
10341455	minicookieshouse	OPEN	SUBSCRIBERS	140	0
7093228	dogs_and_cats	OPEN	SUBSCRIBERS	160	0
8544869	B280	RESTRICTED	SUBSCRIBERS	76	0
22817249	laughterquote	OPEN	ALL	65	0
12501503	wuancheee	OPEN	SUBSCRIBERS	177	0
5884687	4aeaanadnbcoe3a1	OPEN	ALL	121	0
15907365	sportdating	OPEN	ALL	81	0
4900790	comic_harry_home	OPEN	SUBSCRIBERS	181	0
10289710	Auiuiwqojhjehj9000	OPEN	SUBSCRIBERS	170	0
16532879	hksun29	OPEN	ALL	118	0
10735845	w_inds_come_hk	RESTRICTED	SUBSCRIBERS	114	0
9036172	metoerhouse	OPEN	MODERATORS	153	0
9989941	a2ba2ca2da2ea9u7r7taaetwinsa2ea2	OPEN	SUBSCRIBERS	174	0
9019032	winki_love_cookies	OPEN	SUBSCRIBERS	132	0
23111430	uc52	OPEN	ALL	59	0
5885426	a19a8ka9eap7ua19	OPEN	ALL	137	0
15509631	supremefiona	OPEN	ALL	68	0
9804384	fancyfantasy	OPEN	SUBSCRIBERS	130	0
41927823	UOWQMB	OPEN	SUBSCRIBERS	47	0
